WBS Number,Title,Start,End,Duration hours,Duration,Effort hours,Effort,Completed,Task Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Start After,End Before,Prerequisites,Notes,Priority,Resources Cost,Total Task Cost
22.3,racks bolted down,T+143d ,T+145d ,24,3d,24,3d,0%,,,,,,,,,22.2,,0,,
22.4,racks powered on.,T+146d ,T+148d ,24,3d,24,3d,0%,,,,,,,,,22.3,,0,,
22.5,Panels are set up to receive xconnects.,T+149d ,T+150d ,16,2d,16,2d,0%,,,,,,,,,22.4,,0,,
22.6,routers / switches BASE Config.,T+149d ,T+153d ,40,1w,40,1w,0%,,,,,,,,,22.4,,0,,
22.7,rack to spine interconnect cabling,T+149d ,T+153d ,40,1w,40,1w,0%,,,,,,,,,22.4,,0,,
23,Sundries work,T+137d ,T+155d ,152,3w 4d,152,3w 4d,0%,,,,,,,,,,,,,
23.1,Sundries arrive,T+137d ,T+151d ,120,3w,120,3w,0%,,,,,,,,,21,,0,,
23.2,Sundries unpacked/assembled,T+152d ,T+155d ,32,4d,32,4d,0%,,,,,,,,,23.1,,0,,
24,Network Provider bringup,T+154d ,T+159d ,48,1w 1d,48,1w 1d,0%,,,,,,,,,,,,,
24.1,Network provider xconnect finished,T+154d ,T+158d ,40,1w,40,1w,0%,,,,,,,,,22.6,,0,,
24.2,Network provider link working,T+159d ,T+159d ,8,1d,8,1d,0%,,,,,,,,,24.1,,0,,
25,Peering Fabric,T+154d ,T+159d ,48,1w 1d,48,1w 1d,0%,,,,,,,,,,,,,
25.1,Peering fabric xconnect finished,T+154d ,T+158d ,40,1w,40,1w,0%,,,,,,,,,22.6,,0,,
25.2,Peering Fabric link brought up,T+159d ,T+159d ,8,1d,8,1d,0%,,,,,,,,,25.1,,0,,
26,Networking,T+160d ,T+168d ,72,1w 4d,72,1w 4d,0%,,,,,,,,,,,,,
26.1,Routing ROAs created,T+160d ,T+161d ,16,2d,16,2d,0%,,,,,,,,,24,,0,,
26.2,Test all route objects.,T+162d ,T+163d ,16,2d,16,2d,0%,,,,,,,,,26.1,,0,,
26.3,Network Configuration Final,T+164d ,T+168d ,40,1w,40,1w,0%,,,,,,,,,26.2,,0,,
27,OOB verification,T+169d ,T+173d ,40,1w,40,1w,0%,,,,,,,,,26,,0,,
28,Documentation final updates,T+174d ,T+183d ,80,2w,80,2w,0%,,,,,,,,,"26, 27",,0,,
29,Server Imaging,T+169d ,T+198d ,240,1mo 2w,240,1mo 2w,0%,,,,,,,,,26,,,,
29.1,"Server services created (eg: Dns, dhcp)",T+169d ,T+173d ,40,1w,40,1w,0%,,,,,,,,,,,0,,
