WBS Number,Title,Start,End,Duration hours,Duration,Effort hours,Effort,Completed,Task Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Start After,End Before,Prerequisites,Notes,Priority,Resources Cost,Total Task Cost
26.2,"Fail a network device. Confirm alerts come in, tickets filed, etc.",T+137d ,T+139d ,24,3d,24,3d,0%,,,,,,,,,26.1,,0,,
26.3,"Fail a rack of equipment. Confirm alerts, tickets etc.",T+140d ,T+144d ,40,1w,40,1w,0%,,,,,,,,,26.2,,0,,
26.4,"Fail and restore the DC,  confirm things come back up as expected.  Document, and resolve issues.",T+145d ,T+149d ,40,1w,40,1w,0%,,,,,,,,,26.3,,0,,
26.5,Test rolling back a deployment,T+150d ,T+154d ,40,1w,40,1w,0%,,,,,,,,,26.4,,0,,
26.6,"Benchmark the site, and see what your limitations are.",T+155d ,T+159d ,40,1w,40,1w,0%,,,,,,,,,26.5,,0,,
27,Cutover,T+160d ,T+174d ,120,3w,120,3w,0%,,,,,,,,,26,,,,
27.1,Data migration to site,T+160d ,T+174d ,120,3w,120,3w,0%,,,,,,,,,,,0,,
27.2,GO LIVE,T+174d ,T+174d ,,,,,0%,,,,,,,,,27.1,,,,
28,Post install,T+175d ,T+194d ,160,1mo,320,2mo,0%,,,,,,,,,27.2,,,,
28.1,Archive of old site,T+175d ,T+194d ,160,1mo,160,1mo,0%,,,,,,,,,,,0,,
28.2,Removal of old site,T+175d ,T+194d ,160,1mo,160,1mo,0%,,,,,,,,,,,0,,
29,Every quarter moving forward:,T+174d ,T+174d ,0,0s,0,0s,0%,,,,,,,,,27,,,,
29.1,Review ongoing capacity plan.,T+174d ,T+174d ,,,,,0%,,,,,,,,,,,,,
29.2,Send forecast to integrator / vendors,T+174d ,T+174d ,,,,,0%,,,,,,,,,,,,,
29.3,Order additional power as needed,T+174d ,T+174d ,,,,,0%,,,,,,,,,,,,,
29.4,Order additional space as needed etc.,T+174d ,T+174d ,,,,,0%,,,,,,,,,,,,,
29.5,Review a DR Plan.,T+174d ,T+174d ,,,,,0%,,,,,,,,,,,,,
